OBJECTID,Wetland__1,SEQNUM,CFCA_EMT_I,Physiograp,Wetland_Ty,Hydrologic,Edge_Ref_1,Urban_Dens,ACRES_COMB,XCOORD_UTM,YCOORD_UTM,Column_,ORIG_FID
125,1,137212.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,3.299365445389257,426005.6250000,3149707.2500000,312.0000000,125
126,1,136472.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,0.719736114302726,425991.0000000,3150132.7500000,312.0000000,126
127,1,135732.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,5.866607537654733,426010.9062500,3150506.7500000,312.0000000,127
128,1,134992.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,11.590516973667595,426048.6562500,3150899.0000000,312.0000000,128
129,1,134252.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,2.768447421330095,426005.1875000,3151342.0000000,312.0000000,129
130,1,133512.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,10.430435773741827,426054.2187500,3151662.0000000,312.0000000,130
131,1,132772.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,9.547937307375628,426128.9375000,3152078.2500000,312.0000000,131
132,1,132032.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,28.499596768378193,426191.3750000,3152428.0000000,312.0000000,132
133,1,131292.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,7.145213577595839,426240.7187500,3152663.0000000,312.0000000,133
134,1,139433.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,5.462724075929530,426582.2500000,3148701.2500000,313.0000000,134
135,1,138693.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,8.408210913689493,426416.3125000,3148963.7500000,313.0000000,135
136,1,137953.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,1.660419458555237,426402.2812500,3149211.7500000,313.0000000,136
137,1,132773.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,0.050606591761520,426365.6875000,3152198.2500000,313.0000000,137
138,1,132033.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,3.987409221530348,426384.6250000,3152439.7500000,313.0000000,138
139,1,131293.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,3.578224507139923,426392.4062500,3152759.5000000,313.0000000,139
140,1,260054.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,0.425769892302094,427106.8125000,3086665.2500000,314.0000000,140
141,1,259314.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,6.944151254593487,427055.6875000,3086886.2500000,314.0000000,141
142,1,258574.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,5.784739054088973,427032.6250000,3087178.2500000,314.0000000,142
143,1,139434.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,12.291654265853021,426946.0937500,3148508.2500000,314.0000000,143
144,1,263015.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,0.101712762745624,427478.8437500,3085162.5000000,315.0000000,144
145,1,262275.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,9.269771734589440,427441.3750000,3085378.7500000,315.0000000,145
146,1,261535.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,6.210988181243141,427452.1875000,3085666.7500000,315.0000000,146
147,1,260795.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,10.988081546507015,427435.6875000,3086162.5000000,315.0000000,147
148,1,260055.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,19.737523348145711,427311.3437500,3086470.7500000,315.0000000,148
149,1,259315.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,2.608050740096472,427164.2500000,3086749.0000000,315.0000000,149
150,1,258575.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,6.132285736198705,427260.0000000,3087375.7500000,315.0000000,150
151,1,257835.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,8.171958088780208,427399.1875000,3087528.7500000,315.0000000,151
152,1,141655.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,1.757529018900919,427436.5000000,3147625.0000000,315.0000000,152
153,1,140915.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,3.993855634800583,427445.4375000,3147714.2500000,315.0000000,153
154,1,140175.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,5.091813039280727,427289.5312500,3148363.5000000,315.0000000,154
155,1,139435.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,16.562989440908392,427337.3125000,3148506.7500000,315.0000000,155
156,1,263016.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,9.023992999850313,427719.2500000,3085114.2500000,316.0000000,156
157,1,262276.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,24.352682299881280,427642.7500000,3085332.5000000,316.0000000,157
158,1,261536.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,24.216607695111964,427633.4375000,3085748.5000000,316.0000000,158
159,1,260796.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,12.528142602771220,427608.6875000,3086048.0000000,316.0000000,159
160,1,260056.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,1.710574114309162,427529.7500000,3086403.0000000,316.0000000,160
161,1,257836.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,13.359569063372721,427687.2187500,3087666.2500000,316.0000000,161
162,1,141656.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,10.853496076116221,427687.6875000,3147570.5000000,316.0000000,162
163,1,140916.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,8.410805398808382,427764.8125000,3147779.7500000,316.0000000,163
164,1,140176.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,9.779965172648863,427755.0312500,3148328.5000000,316.0000000,164
165,1,139436.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,18.720047038782180,427725.8750000,3148546.0000000,316.0000000,165
166,1,263017.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,5.721451748969015,428008.0000000,3085085.0000000,317.0000000,166
167,1,262277.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,10.216436002008704,428103.8437500,3085337.0000000,317.0000000,167
168,1,261537.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,13.843369548375815,428125.7500000,3085787.5000000,317.0000000,168
169,1,260797.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,1.626213153722658,428186.7187500,3085956.0000000,317.0000000,169
170,1,257837.000000000000000,SW-JJ,Ridge,1F,Yes,104.630000000000000,Moderate,10.261939520394748,428060.2812500,3087724.5000000,317.0000000,170
171,1,141657.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,0.359610253521708,427903.6562500,3147633.5000000,317.0000000,171
172,1,140917.000000000000000,SJ-LJ,Ridge,2F,No,96.420000000000002,Moderate,7.724664915403278,427941.5312500,3147888.5000000,317.0000000,172
